Date,Year,Peak Chart Position,Artist - Source Database,Artist - Modified,Title - Source Database,Title - Modified,Duration,Original Record Label & Catalog No.,Suggested Filename,Concatenate,Eliminate Hyphens,Substitute Google Comma Char.,Eliminate Ampersand Phrases,,,Eliminate Parentheticals,,Search Formula
01/06/90,1990,1,Alannah Myles,Alannah Myles,Black Velvet,Black Velvet,4:45,Atlantic 88742,Alannah Myles--Black Velvet (1990),%22Alannah Myles%22+%22Black Velvet%22,%22Alannah Myles%22+%22Black Velvet%22,%22Alannah Myles%22+%22Black Velvet%22,,,%22Alannah Myles%22+%22Black Velvet%22,,,https://www.google.com/search?q=%22Alannah Myles%22+%22Black Velvet%22&ie=utf-8&oe=utf-8
01/06/90,1990,4,Milli Vanilli,Milli Vanilli,All Or Nothing,All or Nothing,3:56,Arista AS1-9923,Milli Vanilli--All or Nothing (1990),%22Milli Vanilli%22+%22All or Nothing%22,%22Milli Vanilli%22+%22All or Nothing%22,%22Milli Vanilli%22+%22All or Nothing%22,,,%22Milli Vanilli%22+%22All or Nothing%22,,,https://www.google.com/search?q=%22Milli Vanilli%22+%22All or Nothing%22&ie=utf-8&oe=utf-8
01/06/90,1990,13,Michael Penn,Michael Penn,No Myth,No Myth,4:11,RCA 9111,Michael Penn--No Myth (1990),%22Michael Penn%22+%22No Myth%22,%22Michael Penn%22+%22No Myth%22,%22Michael Penn%22+%22No Myth%22,,,%22Michael Penn%22+%22No Myth%22,,,https://www.google.com/search?q=%22Michael Penn%22+%22No Myth%22&ie=utf-8&oe=utf-8
01/06/90,1990,20,Warrant,Warrant,Sometimes She Cries,Sometimes She Cries,4:06,Columbia 38-73300,Warrant--Sometimes She Cries (1990),%22Warrant%22+%22Sometimes She Cries%22,%22Warrant%22+%22Sometimes She Cries%22,%22Warrant%22+%22Sometimes She Cries%22,,,%22Warrant%22+%22Sometimes She Cries%22,,,https://www.google.com/search?q=%22Warrant%22+%22Sometimes She Cries%22&ie=utf-8&oe=utf-8
01/06/90,1990,56,Kenny G,Kenny G,Going Home,Going Home,5:26,Arista 9913,Kenny G--Going Home (1990),%22Kenny G%22+%22Going Home%22,%22Kenny G%22+%22Going Home%22,%22Kenny G%22+%22Going Home%22,,,%22Kenny G%22+%22Going Home%22,,,https://www.google.com/search?q=%22Kenny G%22+%22Going Home%22&ie=utf-8&oe=utf-8
01/13/90,1990,6,Billy Joel,Billy Joel,I Go To Extremes,I Go to Extremes,4:16,Columbia 38-73091,Billy Joel--I Go to Extremes (1990),%22Billy Joel%22+%22I Go to Extremes%22,%22Billy Joel%22+%22I Go to Extremes%22,%22Billy Joel%22+%22I Go to Extremes%22,,,%22Billy Joel%22+%22I Go to Extremes%22,,,https://www.google.com/search?q=%22Billy Joel%22+%22I Go to Extremes%22&ie=utf-8&oe=utf-8
01/13/90,1990,18,Elton John,Elton John,Sacrifice,Sacrifice,5:01,MCA 53750,Elton John--Sacrifice (1990),%22Elton John%22+%22Sacrifice%22,%22Elton John%22+%22Sacrifice%22,%22Elton John%22+%22Sacrifice%22,,,%22Elton John%22+%22Sacrifice%22,,,https://www.google.com/search?q=%22Elton John%22+%22Sacrifice%22&ie=utf-8&oe=utf-8
01/13/90,1990,71,Entouch Featuring Keith Sweat,Entouch,All Nite,All Nite,3:52,Vintertainment 7-69260,Entouch--All Nite (1990),%22Entouch%22+%22All Nite%22,%22Entouch%22+%22All Nite%22,%22Entouch%22+%22All Nite%22,,,%22Entouch%22+%22All Nite%22,,,https://www.google.com/search?q=%22Entouch%22+%22All Nite%22&ie=utf-8&oe=utf-8
01/13/90,1990,85,Saraya,Saraya,Timeless Love,Timeless Love,3:40,SBK 07316,Saraya--Timeless Love (1990),%22Saraya%22+%22Timeless Love%22,%22Saraya%22+%22Timeless Love%22,%22Saraya%22+%22Timeless Love%22,,,%22Saraya%22+%22Timeless Love%22,,,https://www.google.com/search?q=%22Saraya%22+%22Timeless Love%22&ie=utf-8&oe=utf-8
01/13/90,1990,92,Paul McCartney,Paul McCartney,Figure Of Eight,Figure of Eight,4:00,Capitol 44489,Paul McCartney--Figure of Eight (1990),%22Paul McCartney%22+%22Figure of Eight%22,%22Paul McCartney%22+%22Figure of Eight%22,%22Paul McCartney%22+%22Figure of Eight%22,,,%22Paul McCartney%22+%22Figure of Eight%22,,,https://www.google.com/search?q=%22Paul McCartney%22+%22Figure of Eight%22&ie=utf-8&oe=utf-8
